Link,Boligtype,Vej navn,Post nummer,Område,Etage,Størelse,Værelser,Månedlig leje,Månedlig aconto,Indflytningspris,Ledig fra,Price pr m²
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/96m2-3-vaer-id-5355309,Lejlighed,Amagerbrogade, 2300 København, København S  , 3. sal,96,3,16500.0,1300.0,83800.0,30. april 2023,185.41666666666666
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/98m2-4-vaer-id-5296118,Lejlighed,C.F. Møllers Allé, 2300 København, København S  , 1. sal,98,4,13000.0,1500.0,53500.0,01. august 2023,147.9591836734694
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/118m2-4-vaer-id-5354811,Lejlighed,Robert Jacobsens Vej, 2300 København, København S  , 2. sal,118,4,16400.0,1300.0,83300.0,01. august 2023,150.0
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/97m2-3-vaer-id-5354754,Lejlighed,Robert Jacobsens Vej, 2300 København, København S  , 4. sal,97,3,13550.0,1051.0,68801.0,01. august 2023,150.5257731958763
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/105m2-4-vaer-id-5186630,Lejlighed,Lindgreens Allé, 2300 København, København S  , 3. sal,105,4,16220.0,1200.0,82300.0,15. juli 2023,165.9047619047619
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/95m2-4-vaer-id-5354407,Lejlighed,Strandlodsvej, 2300 København, København S  , 1. sal,95,4,16700.0,1200.0,84700.0,01. august 2023,188.42105263157896
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/118m2-4-vaer-id-5354153,Lejlighed,Martha Christensens Vej, 2300 København, København S  , 2. sal,118,4,16500.0,1250.0,83750.0,01. november 2023,150.42372881355934
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/109m2-4-vaer-id-5169159,Lejlighed,Amager Strandvej, 2300 København, København S  , Stuen,109,4,18167.0,1200.0,92035.0,01. august 2023,177.67889908256882
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/91m2-3-vaer-id-5353766,Lejlighed,Emma Gads Vej, 2300 København, København S  , 2. sal,91,3,14300.0,950.0,72450.0,01. november 2023,167.58241758241758
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/95m2-4-vaer-id-5353765,Lejlighed,Emma Gads Vej, 2300 København, København S  , 2. sal,95,4,16800.0,1000.0,85000.0,01. november 2023,187.3684210526316
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/93m2-3-vaer-id-5299987,Lejlighed,Njalsgade, 2300 København, København S  , 5. sal,93,3,15900.0,400.0,64000.0,30. april 2023,175.2688172043011
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/93m2-3-vaer-id-5299985,Lejlighed,Njalsgade, 2300 København, København S  , 1. sal,93,3,14000.0,400.0,56400.0,30. april 2023,154.83870967741936
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/100m2-4-vaer-id-5352996,Lejlighed,Strandlodsvej, 2300 København, København S  , 7. sal,100,4,17300.0,1150.0,87650.0,01. juli 2023,184.5
